项目名称,状态,项目名称2,空,日期,来源,aihelp链接,处理信息
【2.1.60全服】：处于莫修大招的对手不会受到寅的伤害 Yve's damage is not received by opponents who are in Marcel's ultimate(AIHelp:20260312000860),定位中未修复,【2.1.60全服】：处于莫修大招的对手不会受到寅的伤害 Yve's damage is not received by opponents who are in Marcel's ultimate(AIHelp:20260312000860),,2026/03/13,BugGarage,https://aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSTMLQ,玩家提供的视频看到受到莫修的大招所有单位都会被定格并且无法受到除了莫修以外的任何效果
【2.1.62测服】：【AI开单】iOS更新奖励先锋币未到账 (aihelp:YSPD59),定位中未修复,【2.1.62测服】：【AI开单】iOS更新奖励先锋币未到账 (aihelp:YSPD59),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSPD59,因为这次ios凌晨才过审，上周的更新活动已经结束了导致的，目前已经配置活动需客服同学尽快引导玩家领取奖励
【2.1.60全服】：对阿尔法使用涟涟大招，这时新英雄莫修也使用了他的大招，之后阿尔法就消失了，然后又重新出现了The time i use my ultimate to alpha and new hero use his ulti and after that aplha is missing and apear again(AIHelp:20260312000236),定位中未修复,【2.1.60全服】：对阿尔法使用涟涟大招，这时新英雄莫修也使用了他的大招，之后阿尔法就消失了，然后又重新出现了The time i use my ultimate to alpha and new hero use his ulti and after that aplha is missing and apear again(AIHelp:20260312000236),,2026/03/13,BugGarage,https://ml-panel.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS9DKZ,录像中看表现都是正常的，未出现对阿尔法使用大招时阿尔法消失的情况
【2.1.60全服】：没有收藏商店 I don't get collection shop on my account(AIHelp:20260311000963),定位中未修复,【2.1.60全服】：没有收藏商店 I don't get collection shop on my account(AIHelp:20260311000963),,2026/03/13,BugGarage,https://ml-panel.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSDST9,
【2.1.60全服】：【AI开单】充值赠送活动奖励未发放 (aihelp:YSCG28),定位中未修复,【2.1.60全服】：【AI开单】充值赠送活动奖励未发放 (aihelp:YSCG28),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSCG28,充值活动的充值期为2.19~3.10，只会算该时间段的充值记录
【2.1.60全服】：【AI开单】【芙蕾亞freya】皮肤模型显示异常 - 队友和敌方英雄皮肤不显示 (aihelp:YS3ZG9),定位中未修复,【2.1.60全服】：【AI开单】【芙蕾亞freya】皮肤模型显示异常 - 队友和敌方英雄皮肤不显示 (aihelp:YS3ZG9),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS3ZG9,查了玩家信息，玩家关闭了“展示他人高级资源”开关，玩家打开后就恢复正常了
【2.1.60全服】：【AI开单】回放功能无法播放 (aihelp:YSSNLH),定位中未修复,【2.1.60全服】：【AI开单】回放功能无法播放 (aihelp:YSSNLH),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSSNLH,版本更新后，老的录像就无法播放了，设计如此
【2.1.60全服】：【AI开单】排行榜数据异常导致段位显示错误 (aihelp:YSS4U9),定位中未修复,【2.1.60全服】：【AI开单】排行榜数据异常导致段位显示错误 (aihelp:YSS4U9),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSS4U9,客诉单中的结论：赛季结算了，玩家的段位会重置未上线的玩家，名片中还是会显示老段位，因为没有触发结算流程上赛季不同的神话段位，结算后的初始段位也不同
【2.1.62测服】：无法领取赛季合同英雄奖励（180/180 进度） Cannot Claim Season Contract Reward for Claude (180/180 Progress)(AIHelp:20260311000546),定位中未修复,【2.1.62测服】：无法领取赛季合同英雄奖励（180/180 进度） Cannot Claim Season Contract Reward for Claude (180/180 Progress)(AIHelp:20260311000546),,2026/03/13,BugGarage,https://aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS2Z6Q,任务清空后没有任务会误判为没有进度；
【2.1.62测服】：无法购买莫修(AIHelp:20260311000819),定位中未修复,【2.1.62测服】：无法购买莫修(AIHelp:20260311000819),,2026/03/13,BugGarage,https://ml-panel.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSL7NQ,测服已经开启关于新英雄莫修的相关获取活动
【2.1.60全服】：【AI开单】游戏内地理位置定位不准确 (aihelp:YSLGH5),定位中未修复,【2.1.60全服】：【AI开单】游戏内地理位置定位不准确 (aihelp:YSLGH5),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSLGH5,
【2.1.60全服】：【AI开单】游戏回城时冻结崩溃 (aihelp:YSLG7Q),定位中未修复,【2.1.60全服】：【AI开单】游戏回城时冻结崩溃 (aihelp:YSLG7Q),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSLG7Q,转缺陷处理
【2.1.60全服】：【AI开单】摇杆操作失灵问题 (aihelp:YSLJVR),定位中未修复,【2.1.60全服】：【AI开单】摇杆操作失灵问题 (aihelp:YSLJVR),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSLJVR,该玩家网络延迟较高会导致移动卡顿等现象，现在全服网络已恢复正常了，建议玩家重启后再尝试下
【2.1.60全服】：【AI开单】Marcel大招冻结效果异常 (aihelp:YSL4XD),定位中未修复,【2.1.60全服】：【AI开单】Marcel大招冻结效果异常 (aihelp:YSL4XD),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSL4XD,莫修大招可以控制敌方英雄和友方英雄，大招期间无法对大招内的英雄造成伤害，设计如此
【2.1.60全服】：【AI开单】排位赛胜利后战绩和段位未更新 (aihelp:YSLER8),定位中未修复,【2.1.60全服】：【AI开单】排位赛胜利后战绩和段位未更新 (aihelp:YSLER8),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSLER8,客诉单中的结论：玩家反馈的对局，因为版本更新，被判定无效了玩家击杀数大于50之后，不会被记录，会被判定刷数据赛季结算后，段位重置符合预期玩家对战数据的页签切换不对，引导玩家切换到排位模式即可
【2.1.60全服】：【AI开单】商店购买Magic Dust按钮失效 (aihelp:YS9RJN),定位中未修复,【2.1.60全服】：【AI开单】商店购买Magic Dust按钮失效 (aihelp:YS9RJN),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS9RJN,程序热修已完成，热修已对外
【2.1.60全服】：【AI开单】Marcel技能魔法伤害加成失效 (aihelp:YS9SYH),定位中未修复,【2.1.60全服】：【AI开单】Marcel技能魔法伤害加成失效 (aihelp:YS9SYH),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS9SYH,莫修的被动伤害是魔法防御加成，不是魔法攻击加成，设计如此
【2.1.60全服】：【AI开单】Marcel装备HP加成失效 (aihelp:YS9W4P),定位中未修复,【2.1.60全服】：【AI开单】Marcel装备HP加成失效 (aihelp:YS9W4P),,2026/03/13,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS9W4P,新英雄莫修被动效果会把装备加的生命值转化成混合防御，设计如此
